index,cross_entropy,hyper_params
33,0.4420066483,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6888888888888889, 'importance_type': 'split', 'learning_rate': 0.055042281772791954, 'max_depth': -1, 'min_child_samples': 90, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 79, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.3285714285714285, 'reg_lambda': 0.92, 'silent': 'warn', 'subsample': 0.6136363636363636, 'subsample_for_bin': 140000, 'subsample_freq': 0, 'is_unbalance': False}"
505,0.4420567539,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6222222222222222, 'importance_type': 'split', 'learning_rate': 0.07586652005172762, 'max_depth': -1, 'min_child_samples': 185, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 88, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.7506122448979591, 'reg_lambda': 0.44, 'silent': 'warn', 'subsample': 0.8818181818181818, 'subsample_for_bin': 160000, 'subsample_freq': 0, 'is_unbalance': False}"
966,0.4420846354,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6444444444444445, 'importance_type': 'split', 'learning_rate': 0.16691411404040574, 'max_depth': -1, 'min_child_samples': 45, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 33, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.2518367346938775, 'reg_lambda': 0.30000000000000004, 'silent': 'warn', 'subsample': 0.8681818181818182, 'subsample_for_bin': 180000, 'subsample_freq': 0, 'is_unbalance': True}"
557,0.442084951,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6444444444444445, 'importance_type': 'split', 'learning_rate': 0.07164801272636082, 'max_depth': -1, 'min_child_samples': 90, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 35, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.6546938775510203, 'reg_lambda': 0.78, 'silent': 'warn', 'subsample': 0.6772727272727272, 'subsample_for_bin': 80000, 'subsample_freq': 0, 'is_unbalance': False}"
585,0.4421520891,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6888888888888889, 'importance_type': 'split', 'learning_rate': 0.08506329335207222, 'max_depth': -1, 'min_child_samples': 190, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 140, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.597142857142857, 'reg_lambda': 0.76, 'silent': 'warn', 'subsample': 0.9363636363636364, 'subsample_for_bin': 180000, 'subsample_freq': 0, 'is_unbalance': False}"
733,0.4421627714,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6444444444444445, 'importance_type': 'split', 'learning_rate': 0.07662512742493736, 'max_depth': -1, 'min_child_samples': 170, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 70, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.29020408163265304, 'reg_lambda': 0.04, 'silent': 'warn', 'subsample': 0.8500000000000001, 'subsample_for_bin': 20000, 'subsample_freq': 0, 'is_unbalance': True}"
930,0.4421745877,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6, 'importance_type': 'split', 'learning_rate': 0.04499821092884331, 'max_depth': -1, 'min_child_samples': 60, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 97, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.30938775510204075, 'reg_lambda': 0.34, 'silent': 'warn', 'subsample': 0.9454545454545455, 'subsample_for_bin': 220000, 'subsample_freq': 0, 'is_unbalance': False}"
283,0.4422123647,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7333333333333334, 'importance_type': 'split', 'learning_rate': 0.0764347673877326, 'max_depth': -1, 'min_child_samples': 180, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 117, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.8848979591836734, 'reg_lambda': 0.46, 'silent': 'warn', 'subsample': 0.640909090909091, 'subsample_for_bin': 120000, 'subsample_freq': 0, 'is_unbalance': True}"
745,0.4422201092,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6222222222222222, 'importance_type': 'split', 'learning_rate': 0.06800152579725173, 'max_depth': -1, 'min_child_samples': 200, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 68, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.5204081632653061, 'reg_lambda': 0.9400000000000001, 'silent': 'warn', 'subsample': 0.8863636363636365, 'subsample_for_bin': 220000, 'subsample_freq': 0, 'is_unbalance': True}"
449,0.4423041781,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6444444444444445, 'importance_type': 'split', 'learning_rate': 0.07290645465723262, 'max_depth': -1, 'min_child_samples': 200, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 95, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.29020408163265304, 'reg_lambda': 1.0, 'silent': 'warn', 'subsample': 0.7818181818181819, 'subsample_for_bin': 60000, 'subsample_freq': 0, 'is_unbalance': True}"
